Epoch,Train_Loss,Val_AUC_PR,Max_Hardness,Time_Sec
0,0.000988,0.0000,0.0900,177.27
1,0.001370,0.0000,0.0900,134.51
2,0.002255,0.0000,0.0667,90.17
3,0.001746,0.0000,0.1000,130.83
4,0.005764,0.0000,0.1333,131.29
5,0.010937,0.0000,0.1667,169.25
6,0.016741,0.0000,0.2000,132.51
7,0.021593,0.0000,0.2333,134.24
8,0.029702,0.0000,0.2667,135.28
9,0.041588,0.0000,0.3000,135.57
10,0.055250,0.0000,0.3333,1472.30
11,0.029954,0.0000,0.3667,134.75
12,0.036360,0.0000,0.4000,135.52
13,0.045296,0.0000,0.4333,135.78
14,0.056413,0.0000,0.4667,139.21
15,0.066748,0.0000,0.5000,173.72
16,0.078650,0.0000,0.5333,136.86
17,0.091044,0.0000,0.5667,137.21
18,0.104260,0.0000,0.6000,137.49
19,0.126845,0.0000,0.6333,137.73
20,0.140479,0.0000,0.6667,1475.86
21,0.153594,0.0000,0.7000,138.66
22,0.167324,0.0000,0.7333,138.76
23,0.185822,0.0000,0.7667,138.86
24,0.196467,0.0000,0.8000,139.09
25,0.217038,0.0000,0.8333,175.92
26,0.221657,0.0000,0.8667,139.06
27,0.236552,0.0000,0.9000,138.52
28,0.536601,0.0000,0.9333,139.22
29,0.548829,0.0000,0.9667,139.24
30,0.695112,0.0000,1.0000,1456.36
31,0.695135,0.0000,1.0000,121.30
32,0.695135,0.0000,1.0000,121.05
33,0.695135,0.0000,1.0000,120.98
34,0.695135,0.0000,1.0000,159.31
