Epoch,Train_Loss,Val_AUC_PR,Max_Hardness,Time_Sec
0,0.038409,0.0000,1.0000,168.41
1,0.007210,0.0000,1.0000,126.37
2,0.007555,0.0000,1.0000,126.48
3,0.007385,0.0000,1.0000,128.25
4,0.008057,0.0000,1.0000,131.59
5,0.007155,0.0000,1.0000,173.30
6,0.007048,0.0000,1.0000,128.36
7,0.007073,0.0000,1.0000,127.87
8,0.007008,0.0000,1.0000,127.29
9,0.007487,0.0000,1.0000,129.60
10,0.007150,0.0000,1.0000,172.17
11,0.007601,0.0000,1.0000,129.95
12,0.007002,0.0000,1.0000,130.22
13,0.007018,0.0000,1.0000,129.28
14,0.006994,0.0000,1.0000,126.48
15,0.007116,0.0000,1.0000,168.03
16,0.007015,0.0000,1.0000,126.52
17,0.006941,0.0000,1.0000,127.15
18,0.007490,0.0000,1.0000,127.16
19,0.007151,0.0000,1.0000,126.91
20,0.007210,0.0000,1.0000,168.44
21,0.007145,0.0000,1.0000,126.84
22,0.006981,0.0000,1.0000,126.76
23,0.007154,0.0000,1.0000,126.49
24,0.006968,0.0000,1.0000,126.44
25,0.006940,0.0000,1.0000,169.15
26,0.006856,0.0000,1.0000,131.88
27,0.006801,0.0000,1.0000,131.32
28,0.006958,0.0000,1.0000,132.10
29,0.006693,0.0000,1.0000,131.32
30,0.006625,0.0000,1.0000,173.40
31,0.006599,0.0000,1.0000,131.25
32,0.006572,0.0000,1.0000,131.23
33,0.006598,0.0000,1.0000,131.54
34,0.006567,0.0000,1.0000,175.88
