Epoch,Train_Loss,Val_AUC_PR,Max_Hardness,Time_Sec
0,0.001502,0.0000,0.1127,184.22
1,0.003670,0.0000,0.1127,139.48
2,0.003667,0.0000,0.1127,139.65
3,0.002219,0.0000,0.1000,135.09
4,0.006648,0.0000,0.1333,136.38
5,0.012588,0.0000,0.1667,175.25
6,0.018944,0.0000,0.2000,137.40
7,0.023955,0.0000,0.2333,139.01
8,0.031848,0.0000,0.2667,139.90
9,0.043352,0.0000,0.3000,140.55
10,0.056945,0.0000,0.3333,1593.73
11,0.029945,0.0000,0.3667,143.17
12,0.036254,0.0000,0.4000,143.50
13,0.045286,0.0000,0.4333,144.54
14,0.055576,0.0000,0.4667,143.79
15,0.066534,0.0000,0.5000,181.27
16,0.078615,0.0000,0.5333,143.16
17,0.090824,0.0000,0.5667,143.27
18,0.104265,0.0000,0.6000,143.89
19,0.126391,0.0000,0.6333,143.47
20,0.140751,0.0000,0.6667,1581.45
21,0.153527,0.0000,0.7000,153.64
22,0.167348,0.0000,0.7333,153.51
23,0.185749,0.0000,0.7667,153.98
24,0.196383,0.0000,0.8000,153.70
25,0.217040,0.0000,0.8333,192.55
26,0.221561,0.0000,0.8667,151.91
27,0.236589,0.0000,0.9000,146.31
28,0.536629,0.0000,0.9333,146.36
29,0.548902,0.0000,0.9667,146.30
30,0.695112,0.0000,1.0000,1454.42
31,0.695135,0.0000,1.0000,123.35
32,0.695135,0.0000,1.0000,123.81
33,0.695135,0.0000,1.0000,124.58
34,0.695135,0.0000,1.0000,161.95
