Epoch,Train_Loss,Val_AUC_PR,Max_Hardness,Time_Sec
0,0.000988,0.0000,0.0900,180.37
1,0.001369,0.0000,0.0900,136.39
2,0.002235,0.0000,0.0667,91.83
3,0.001745,0.0000,0.1000,133.32
4,0.005757,0.0000,0.1333,133.36
5,0.010945,0.0000,0.1667,171.42
6,0.016731,0.0000,0.2000,134.18
7,0.021592,0.0000,0.2333,136.10
8,0.029692,0.0000,0.2667,136.65
9,0.041593,0.0000,0.3000,138.03
10,0.055253,0.0000,0.3333,1514.63
11,0.029958,0.0000,0.3667,140.26
12,0.036364,0.0000,0.4000,141.48
13,0.045301,0.0000,0.4333,142.02
14,0.056416,0.0000,0.4667,142.33
15,0.066789,0.0000,0.5000,179.80
16,0.078662,0.0000,0.5333,142.27
17,0.091048,0.0000,0.5667,142.16
18,0.104281,0.0000,0.6000,141.15
19,0.126861,0.0000,0.6333,140.60
20,0.140483,0.0000,0.6667,1495.88
21,0.153596,0.0000,0.7000,140.96
22,0.167324,0.0000,0.7333,141.58
23,0.185822,0.0000,0.7667,144.35
24,0.196468,0.0000,0.8000,143.98
25,0.217038,0.0000,0.8333,181.24
26,0.221656,0.0000,0.8667,141.33
27,0.236552,0.0000,0.9000,141.38
28,0.536601,0.0000,0.9333,141.45
29,0.548828,0.0000,0.9667,141.68
30,0.695112,0.0000,1.0000,1485.37
31,0.695135,0.0000,1.0000,126.28
32,0.695135,0.0000,1.0000,126.96
33,0.695135,0.0000,1.0000,127.59
34,0.695135,0.0000,1.0000,165.73
