Epoch,Train_Loss,Val_AUC_PR,Max_Hardness,Time_Sec
0,0.001830,0.0000,0.1221,178.66
1,0.004735,0.0000,0.1221,134.50
2,0.002053,0.0000,0.0667,87.55
3,0.002400,0.0000,0.1000,126.89
4,0.006130,0.0000,0.1333,130.94
5,0.010221,0.0000,0.1667,169.48
6,0.015529,0.0000,0.2000,132.18
7,0.020699,0.0000,0.2333,134.57
8,0.028233,0.0000,0.2667,135.78
9,0.039421,0.0000,0.3000,136.31
10,0.052689,0.0000,0.3333,1545.84
11,0.030365,0.0000,0.3667,135.72
12,0.036550,0.0000,0.4000,135.96
13,0.045572,0.0000,0.4333,136.77
14,0.056680,0.0000,0.4667,137.44
15,0.067302,0.0000,0.5000,175.50
16,0.078770,0.0000,0.5333,137.60
17,0.091256,0.0000,0.5667,137.74
18,0.104470,0.0000,0.6000,137.95
19,0.127054,0.0000,0.6333,138.49
20,0.140634,0.0000,0.6667,1538.42
21,0.153684,0.0000,0.7000,138.88
22,0.167328,0.0000,0.7333,139.00
23,0.185878,0.0000,0.7667,139.15
24,0.196471,0.0000,0.8000,139.33
25,0.217057,0.0000,0.8333,177.36
26,0.221671,0.0000,0.8667,139.47
27,0.236529,0.0000,0.9000,139.62
28,0.536589,0.0000,0.9333,140.02
29,0.548821,0.0000,0.9667,139.99
30,0.695112,0.0000,1.0000,1531.40
31,0.695135,0.0000,1.0000,121.60
32,0.695135,0.0000,1.0000,121.41
33,0.695135,0.0000,1.0000,121.45
34,0.695135,0.0000,1.0000,159.41
