Epoch,Train_Loss,Val_AUC_PR,Max_Hardness,Time_Sec
0,0.037322,0.0000,1.0000,174.05
1,0.007364,0.0000,1.0000,128.62
2,0.007924,0.0000,1.0000,131.33
3,0.007733,0.0000,1.0000,136.43
4,0.007488,0.0000,1.0000,135.59
5,0.007285,0.0000,1.0000,179.17
6,0.007174,0.0000,1.0000,128.88
7,0.007079,0.0000,1.0000,130.39
8,0.007106,0.0000,1.0000,128.83
9,0.007079,0.0000,1.0000,129.27
10,0.007067,0.0000,1.0000,171.22
11,0.007062,0.0000,1.0000,131.17
12,0.007058,0.0000,1.0000,132.83
13,0.007020,0.0000,1.0000,132.71
14,0.007003,0.0000,1.0000,128.49
15,0.007094,0.0000,1.0000,168.23
16,0.007097,0.0000,1.0000,125.10
17,0.007372,0.0000,1.0000,126.03
18,0.007112,0.0000,1.0000,125.45
19,0.007114,0.0000,1.0000,125.87
20,0.007012,0.0000,1.0000,167.62
21,0.007147,0.0000,1.0000,126.21
22,0.007381,0.0000,1.0000,126.24
23,0.007150,0.0000,1.0000,126.20
24,0.007015,0.0000,1.0000,126.00
25,0.007032,0.0000,1.0000,167.62
26,0.006987,0.0000,1.0000,125.82
27,0.007012,0.0000,1.0000,125.77
28,0.007009,0.0000,1.0000,125.75
29,0.007057,0.0000,1.0000,125.87
30,0.006962,0.0000,1.0000,167.49
31,0.007591,0.0000,1.0000,125.61
32,0.007243,0.0000,1.0000,130.26
33,0.007017,0.0000,1.0000,132.06
34,0.006871,0.0000,1.0000,173.20
