Epoch,Train_Loss,Val_AUC_PR,Max_Hardness,Time_Sec
0,0.001450,0.0000,0.1126,206.50
1,0.003655,0.0000,0.1126,153.60
2,0.003652,0.0000,0.1126,152.98
3,0.002210,0.0000,0.1000,148.97
4,0.006673,0.0000,0.1333,150.21
5,0.012610,0.0000,0.1667,194.22
6,0.019060,0.0000,0.2000,151.55
7,0.024052,0.0000,0.2333,153.75
8,0.031837,0.0000,0.2667,154.78
9,0.043397,0.0000,0.3000,154.74
10,0.056876,0.0000,0.3333,1547.23
11,0.030075,0.0000,0.3667,153.87
12,0.036220,0.0000,0.4000,154.52
13,0.045381,0.0000,0.4333,155.56
14,0.055858,0.0000,0.4667,156.00
15,0.066635,0.0000,0.5000,199.54
16,0.078676,0.0000,0.5333,156.56
17,0.090472,0.0000,0.5667,156.39
18,0.104356,0.0000,0.6000,156.39
19,0.126532,0.0000,0.6333,156.55
20,0.140592,0.0000,0.6667,1548.08
21,0.153435,0.0000,0.7000,157.14
22,0.167362,0.0000,0.7333,157.54
23,0.185836,0.0000,0.7667,158.12
24,0.196575,0.0000,0.8000,158.04
25,0.217223,0.0000,0.8333,201.45
26,0.221687,0.0000,0.8667,157.78
27,0.236554,0.0000,0.9000,157.53
28,0.536587,0.0000,0.9333,157.94
29,0.548882,0.0000,0.9667,157.78
30,0.694895,0.0000,1.0000,1534.61
31,0.694918,0.0000,1.0000,140.20
32,0.694918,0.0000,1.0000,140.19
33,0.694918,0.0000,1.0000,140.06
34,0.694918,0.0000,1.0000,139.96
35,0.694918,0.0000,1.0000,183.62
36,0.694918,0.0000,1.0000,139.89
37,0.694918,0.0000,1.0000,139.99
38,0.694918,0.0000,1.0000,140.09
39,0.694918,0.0000,1.0000,140.11
40,0.694918,0.0000,1.0000,1533.46
41,0.694918,0.0000,1.0000,140.12
42,0.694918,0.0000,1.0000,140.04
43,0.694918,0.0000,1.0000,140.34
44,0.694918,0.0000,1.0000,140.25
45,0.694918,0.0000,1.0000,184.01
46,0.694918,0.0000,1.0000,140.21
47,0.694918,0.0000,1.0000,140.21
48,0.694918,0.0000,1.0000,140.26
49,0.694918,0.0000,1.0000,183.57
